"Take a look at %customer_name's Wish List","Dai un'occhiata alla lista dei desideri di %customer_name",module,Magento_Wishlist
"Move to Wishlist","Sposta nella lista desideri",module,Magento_Wishlist
"Please wait, processing your order...","Attendi un momento, stiamo processando il tuo ordine.",module,Rokanthemes_OpCheckout
"Cash on delivery","Pagamento in contrassegno"
"You will be charged by an extra fee of %1 (+%2 taxes)","Ci sarà un costo ulteriore di %1"
"SKU","Codice articolo"
"Share on","Condividi su"
"Place order now","Effettua ordine",module,Rokanthemes_OpCheckout
"SKU","Codice articolo",module,Rokanthemes_QuickView
Description,Descrizione
"Do you want to remove the item from cart?","Vuoi eliminare l'articolo dal carrello?"
"Thanks for your order!","Grazie per il tuo ordine!"
"Please enter the same value again.","Inserisci lo stesso valore."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La lunghezza minima di questo campo deve essere uguale o maggiore di %1 caratteri. Spazi iniziali e finali verranno ignorati.",module,Magento_Ui
"pl-dashboard-title","Riepilogo account"
"pl-vai-alla-cassa","Vai alla cassa"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Utilizza solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Nessuno spazio o altri caratteri sono consentiti.",module,Magento_Ui
"spedizioni-estero","Per spedizioni fuori dall'Italia, inviare una richiesta via e-mail all'indirizzo"
"pl-login","Accedi"
"pl-wishlist","Wishlist"
"Please enter a valid email address (Es: johndoe@domain.com).","Inserisci un indirizzo email valido (es: mariorossi@dominio.it)"
"Please enter more or equal than {0} symbols.","Inserisci un numero di simboli maggiori o uguali a {0}."
"Nutritional values","Valori nutrizionali"
"No products in offer.","Non ci sono prodotti in offerta al momento."
